"","price","lotSize","age","landValue","livingArea","pctCollege","bedrooms","fireplaces","bathrooms","rooms","heating","fuel","sewer","waterfront","newConstruction","centralAir","hasfireplace"
"8",170000,1.21,23,14600,1662,35,4,1,1.5,9,"hot air","oil","septic","No","No","No",1
"26",248800,4,28,5500,2224,39,4,0,3,10,"hot air","oil","septic","No","No","No",0
"29",457000,0.43,53,2700,2461,39,4,1,2,10,"hot air","oil","public/commercial","Yes","No","No",1
"40",245900,0.19,0,20700,2394,71,4,1,2.5,7,"hot air","gas","none","No","No","Yes",1
"63",82800,0.11,225,3900,1483,52,3,0,1,7,"hot air","gas","public/commercial","No","No","No",0
"95",147000,0.11,15,18900,1676,51,3,1,2.5,6,"hot air","gas","septic","No","No","No",1
"106",225000,2.37,8,3300,1784,44,3,1,2,6,"hot water/steam","oil","septic","No","No","No",1
"111",112500,0.72,43,4600,1232,44,3,1,1,5,"electric","electric","septic","No","No","No",1
"152",139000,0.14,16,19600,1343,64,2,1,1.5,6,"electric","electric","public/commercial","No","No","Yes",1
"154",120000,0.21,15,28800,1180,64,2,1,1.5,3,"hot air","gas","public/commercial","No","No","Yes",1
"169",115000,0.16,15,22400,1058,64,2,1,1.5,7,"hot air","gas","public/commercial","No","No","No",1
"174",139900,0.29,15,35200,1256,64,2,0,1.5,7,"hot air","gas","public/commercial","No","No","Yes",0
"186",175000,0.26,16,30100,1596,64,3,1,2,6,"hot air","gas","public/commercial","No","No","Yes",1
"201",362360,0.59,0,153800,3020,64,4,1,2.5,9,"hot air","gas","public/commercial","No","Yes","Yes",1
"217",102900,0.15,17,15700,912,52,2,0,1.5,3,"electric","gas","public/commercial","No","No","No",0
"220",165000,0.42,10,26200,1433,64,3,1,2,5,"hot air","gas","septic","No","No","Yes",1
"222",177500,0.32,16,27000,1561,52,4,1,1.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"261",335000,3,10,53600,1776,52,2,0,2,6,"hot air","oil","public/commercial","No","No","Yes",0
"266",150500,0.31,16,27000,1527,52,2,1,2,7,"electric","electric","public/commercial","No","No","No",1
"300",191500,0.88,33,35900,2576,64,4,1,2.5,10,"hot water/steam","gas","public/commercial","No","No","No",1
"310",154900,0.51,33,34600,1648,64,3,0,1.5,8,"hot air","gas","public/commercial","No","No","Yes",0
"313",106000,0.42,36,30900,1738,64,3,0,1.5,9,"hot air","gas","public/commercial","No","No","No",0
"319",197500,0.3,30,24500,1938,64,3,1,1.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"323",275000,0.38,18,60800,2445,82,4,2,2.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"354",239900,0.7,15,69400,2488,64,4,1,2.5,7,"electric","electric","public/commercial","No","No","Yes",1
"360",290000,0.51,7,39100,2362,64,4,1,2.5,8,"hot air","gas","public/commercial","No","No","No",1
"374",173000,0.21,11,19100,1064,64,2,1,2,4,"hot air","gas","public/commercial","No","No","No",1
"376",105900,0.09,19,17600,1480,64,3,0,1.5,5,"hot air","electric","public/commercial","No","No","No",0
"383",284900,0.58,20,69500,2417,64,3,1,2.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"404",104000,0.09,19,17600,1480,64,3,1,1.5,5,"electric","electric","public/commercial","No","No","No",1
"420",222400,0.86,3,35600,1976,64,3,1,2.5,8,"hot air","gas","septic","No","No","No",1
"426",274900,0.5,5,4000,2320,54,4,0,2.5,9,"hot air","gas","public/commercial","No","No","No",0
"446",266600,1,12,20300,1752,57,4,0,1,7,"hot air","gas","septic","No","No","No",0
"491",182500,0.38,51,14600,1296,60,4,1,2,9,"hot air","oil","septic","No","No","Yes",1
"493",325000,0.8,134,18100,2463,60,5,2,2.5,12,"hot air","gas","septic","No","No","No",1
"520",154000,0.17,29,4600,1456,57,3,0,2,6,"hot air","oil","public/commercial","No","No","No",0
"522",285000,0.14,14,20700,2076,57,4,1,2.5,10,"hot air","gas","septic","No","No","Yes",1
"554",559000,0.24,55,255000,3090,57,4,2,4,12,"hot water/steam","gas","public/commercial","No","No","Yes",1
"582",286000,0.13,1,110200,1396,57,3,0,2.5,8,"hot air","gas","public/commercial","No","No","No",0
"712",194500,0.17,40,37600,1504,57,4,0,1.5,6,"hot air","gas","septic","No","No","No",0
"733",87550,0.46,44,2100,906,38,2,0,1,3,"hot air","gas","septic","No","No","No",0
"737",120000,0.18,70,3100,1287,38,3,0,1,4,"hot air","gas","public/commercial","No","No","No",0
"748",86000,0.46,43,5500,880,38,3,0,1,4,"hot air","gas","septic","No","No","No",0
"756",92509,0.52,13,4500,840,38,2,0,1,4,"hot air","gas","septic","No","No","No",0
"766",128900,0.14,7,7200,1200,36,3,0,1,8,"hot air","gas","public/commercial","No","No","No",0
"797",400000,0.6,9,57000,2897,63,4,2,2.5,12,"hot air","gas","public/commercial","No","No","Yes",1
"804",120000,0.01,16,9900,1217,63,2,0,2.5,6,"electric","electric","public/commercial","No","No","Yes",0
"810",191000,0.44,39,24100,1518,63,4,1,1.5,5,"hot water/steam","gas","public/commercial","No","No","No",1
"826",287000,0.36,2,53900,2363,63,5,1,2.5,11,"hot air","gas","public/commercial","No","No","Yes",1
"833",225000,0.37,16,24500,1877,63,4,1,3,10,"hot air","gas","public/commercial","No","No","No",1
"856",123000,0.15,17,15100,1679,54,2,0,1.5,7,"electric","electric","public/commercial","No","No","No",0
"888",132500,0.37,19,13000,1988,63,2,0,1,4,"electric","electric","public/commercial","No","No","No",0
"889",220000,1,43,22900,672,57,2,0,1,3,"hot air","oil","septic","No","No","No",0
"912",192000,0.94,33,25200,1974,63,4,1,2.5,9,"hot water/steam","gas","septic","No","No","No",1
"914",200000,0.36,20,27000,1508,54,3,1,2,7,"hot air","gas","public/commercial","No","No","No",1
"942",126000,0.05,17,16000,1302,63,2,1,1.5,4,"hot air","gas","public/commercial","No","No","Yes",1
"978",145000,0.15,22,18500,1479,63,3,1,1.5,5,"electric","electric","public/commercial","No","No","Yes",1
"997",255000,0.4,4,30000,2131,63,4,1,2.5,10,"hot air","gas","public/commercial","No","No","No",1
"999",65000,0.34,74,24800,1692,60,4,0,1.5,8,"electric","electric","septic","No","No","No",0
"1016",238000,0.71,35,35100,2310,63,4,1,2.5,7,"hot water/steam","gas","public/commercial","No","No","No",1
"1029",239900,0.42,30,23200,2259,63,4,1,2.5,11,"hot water/steam","gas","public/commercial","No","No","Yes",1
"1062",180000,0.46,36,32700,1922,63,4,1,1.5,9,"hot air","gas","public/commercial","No","No","Yes",1
"1080",271000,0.47,22,61300,2003,63,3,1,2.5,7,"hot air","gas","public/commercial","No","No","Yes",1
"1081",129900,0.07,15,1800,1480,54,2,1,2.5,5,"hot air","gas","public/commercial","No","No","Yes",1
"1098",119900,0.46,23,7800,960,57,3,0,1,4,"hot air","gas","septic","No","No","No",0
"1138",112000,1,15,24500,1080,35,3,0,2,4,"electric","electric","septic","No","No","No",0
"1214",225500,0.28,41,64000,1092,62,3,1,1,4,"hot water/steam","gas","public/commercial","No","No","No",1
"1226",200000,0.57,85,62500,966,62,3,0,1,4,"hot air","oil","public/commercial","No","No","No",0
"1243",174000,0.16,35,54900,864,62,2,0,1,6,"hot air","gas","public/commercial","No","No","Yes",0
"1245",309750,0.07,15,48200,1744,62,3,1,2.5,5,"hot air","gas","public/commercial","No","No","Yes",1
"1246",658300,0.69,3,101500,3208,62,4,1,2.5,11,"hot air","gas","public/commercial","No","No","Yes",1
"1253",182000,0.02,32,22500,1753,35,3,0,1.5,5,"electric","electric","septic","No","No","No",0
"1261",375000,0.5,19,59000,2424,62,4,1,2.5,8,"hot air","gas","public/commercial","No","No","Yes",1
"1295",204000,0.86,16,4300,2016,36,3,0,1.5,5,"hot water/steam","oil","septic","No","No","No",0
"1301",210000,0.46,27,13800,1890,62,3,0,2.5,9,"hot air","gas","septic","No","No","Yes",0
"1312",120000,0.17,105,4100,1500,64,3,0,1,6,"hot air","oil","septic","No","No","No",0
"1313",373735,0.53,1,233000,3163,64,4,1,2.5,10,"hot air","gas","public/commercial","No","Yes","Yes",1
"1315",213500,0.46,17,36600,1573,64,3,1,2,5,"hot air","gas","public/commercial","No","No","Yes",1
"1352",275055,0.46,1,108900,2745,40,4,1,3,8,"hot air","gas","public/commercial","No","Yes","Yes",1
"1372",223000,0.33,17,27000,1508,40,3,1,1.5,6,"electric","electric","public/commercial","No","No","No",1
"1396",406000,1.08,15,21100,2636,40,4,3,2.5,8,"hot air","gas","septic","No","No","Yes",1
"1435",216900,0.31,19,27000,1656,40,3,1,1.5,7,"electric","electric","public/commercial","No","No","No",1
"1452",272500,0.32,18,27000,2212,40,4,1,2.5,10,"hot air","gas","public/commercial","No","No","Yes",1
"1460",148400,0.15,20,15700,912,40,2,1,1.5,5,"electric","electric","public/commercial","No","No","No",1
"1463",250000,0.4,25,27000,2243,40,3,1,2.5,6,"hot air","electric","public/commercial","No","No","Yes",1
"1482",161000,0.59,37,4400,1056,36,3,0,1,6,"hot air","gas","septic","No","No","No",0
"1489",178900,0.35,21,36500,1554,64,3,0,1,4,"electric","electric","public/commercial","No","No","No",0
"1496",150000,0.21,19,19100,1138,64,2,1,1,4,"electric","electric","public/commercial","No","No","No",1
"1533",165000,0.05,19,16000,1480,64,3,0,2.5,6,"hot air","gas","public/commercial","No","No","Yes",0
"1551",215000,5.65,53,69400,1948,64,2,1,1.5,5,"hot air","oil","public/commercial","No","No","Yes",1
"1553",395000,0.7,16,35000,2803,64,4,1,3,10,"hot water/steam","gas","public/commercial","No","No","Yes",1
"1568",150000,0.07,21,16800,1480,64,3,0,1.5,6,"electric","electric","public/commercial","No","No","No",0
"1576",276000,0.47,19,36600,1831,64,3,1,2,5,"hot air","gas","public/commercial","No","No","Yes",1
"1587",360000,0.91,17,77200,2499,64,4,1,3,7,"hot water/steam","gas","public/commercial","No","No","Yes",1
"1635",221000,0.23,11,7700,1470,40,3,1,2.5,8,"hot air","gas","public/commercial","No","No","No",1
"1638",148000,0.07,16,1800,1480,40,2,1,2.5,4,"hot air","gas","public/commercial","No","No","No",1
"1643",184000,0.45,35,9000,1791,40,4,0,1,10,"hot air","gas","septic","No","No","No",0
"1645",310000,1.75,14,20600,1300,40,3,0,2,4,"electric","electric","septic","No","No","No",0
"1681",382406,0.44,1,108900,2712,51,4,1,2.5,12,"hot air","gas","public/commercial","No","Yes","Yes",1
"1718",145400,0.13,22,18300,945,61,2,0,1,5,"hot air","gas","public/commercial","No","No","No",0
